MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Current assets, AIR PRODUCTS Middle East Industrial Gases LLC,1148543.42,,1148543,,,1148543.42,
Total Assets,Current assets,15% VAT IMPORT,10417863.01,13228185.47,-2810322,-21%,,10417863.01,
Total Assets,Current assets,15% VAT LOCAL INPUT,2727290.37,2198384.08,528906,24%,1465170.98,1262119.38,86.10%
Total Assets,Current assets,Accrual - Service Charges Income,3905596.36,,3905596,,2833836.78,1071759.58,37.80%
Total Assets,Current assets,AIR PRODUCTS Middle East Industrial Gases LLC,2747324.28,1681205.31,1066119,63%,6555127.5,-3807803.21,-58.10%
Total Assets,Current assets,Bid Bond Comm.,904543.27,904543.27,0,0%,904543.27,0,0.00%
Total Assets,Current assets,"Boarding, Lodging & Travel",4059577.15,4059577.15,0,0%,4049407.21,10169.93,0.30%
Total Assets,Current assets,Branch of Arctech Investment (HK) Limited,1161355.48,,1161355,,,1161355.48,
Total Assets,Current assets,"CHINA ENERGY ENGINEERING GROUP GUANGDONG POWER ENGINEERING (HONG KONG) Co., LTD",2463311.51,1231655.76,1231656,100%,,2463311.51,
Total Assets,Current assets,CHINA Energy Engineering Group Guangdong Power Engineering Co. Ltd (Dubai Branch),8579449.46,8579449.46,0,0%,8579449.46,0,0.00%
Total Assets,Current assets,"China Energy Engineering Group Zhejing Thermal Power Construction Co., LTD",8522345.82,8522345.82,0,0%,14530982.23,-6008636.41,-41.40%
Total Assets,Current assets,China Energy International Group Company Limited (Saudi Branch),28839942.46,33985739.52,-5145797,-15%,,28839942.46,
Total Assets,Current assets,China Gezhouba Group Company Limited,0,0,0,,5540692.32,-5540692.32,-100.00%
Total Assets,Current assets,"CHINA Gezhouba Group International Engineering Co., Ltd.",1402346.23,1402346.23,0,0%,1402346.23,0,0.00%
Total Assets,Current assets,Current Ac - JPM - LU570670006550206152-AP Treasury,3404504.31,2719037.22,685467,25%,7378511.33,-3974007.01,-53.90%
Total Assets,Current assets,Current AC - SAMAWEC - SNB - SAR - 71100007557509,0,0,0,,980326.26,-980326.26,-100.00%
Total Assets,Current assets,Current AC -AIICO-SCB- USD - SA2891000000101700232501,9068322.81,,9068323,,,9068322.81,
Total Assets,Current assets,Current AC- API RIYADH-DIVERSITY VAM DUM-USD-AC 10207,9732196.31,5543087.98,4189108,76%,26225825.04,-16493628.73,-62.90%
Total Assets,Current assets,Current AC-APGS-DIVERSITY VAM DUM -USD-AC 10207,1964012.27,,1964012,,,1964012.27,
Total Assets,Current assets,Current AC-API CHINA-BANK OF CHINA-RMB-AC 8029225263080-Payment,0,0,0,,2097335.22,-2097335.22,-100.00%
Total Assets,Current assets,Current AC-API DUBAI-ICBC CHINA-USD-AC 0128000100000029209-Payment,0,0,0,,2684718.54,-2684718.54,-100.00%
Total Assets,Current assets,Current AC-API RIYADH-SABB-SAR-AC 011-290988-001-Payment,1996284.8,6789969.33,-4793685,-71%,37563120.95,-35566836.15,-94.70%
Total Assets,Current assets,Current AC-APID-USD-CBI-100012294076,1292377.38,1292377.38,0,0%,,1292377.38,
Total Assets,Current assets,Current AC-APMI 1-SCB-USD-AC 02-2347322-01-Collection account,5227021.8,,5227022,,2722988.89,2504032.91,92.00%
Total Assets,Current assets,Current AC-APP-DIVERSITY VAM DUM -USD-AC 10207,21377683.87,13619991.32,7757693,57%,34206320.44,-12828636.57,-37.50%
Total Assets,Current assets,Current AC-APREHL-FAB-USD-AC 1031001922013017,0,0,0,,1541472.77,-1541472.77,-100.00%
Total Assets,Current assets,Current AC-OASIS 1 - SABB -SAR-AC 3736022001,0,0,0,,5448239.94,-5448239.94,-100.00%
Total Assets,Current assets,Current AC-SMOMCO-BSF-SAR-AC 608127-001-41-Payment,1396842.27,,1396842,,1215830.04,181012.23,14.90%
Total Assets,Current assets,Development Fee,30581541.56,30581541.56,0,0%,30581541.56,0,0.00%
Total Assets,Current assets,External Parties (EPC / PM&A Fees),3613168.33,1231655.76,2381513,193%,1231655.76,2381512.57,193.40%
Total Assets,Current assets,Financial Consult.,28753457.99,28753457.99,0,0%,28753457.99,0,0.00%
Total Assets,Current assets,Fixed Deposit - AlInma SAR,177822860.6,177822860.6,0,0%,,177822860.6,
Total Assets,Current assets,Fixed Deposit - AlRajhi SAR,0,0,0,,44883303.41,-44883303.41,-100.00%
Total Assets,Current assets,Fixed Deposit - ANB - USD,25807899.46,25807899.46,0,0%,,25807899.46,
Total Assets,Current assets,Fixed Deposit - BSF,117070616.4,42639138.24,74431478,175%,104727708,12342908.44,11.80%
Total Assets,Current assets,Fixed Deposit - CBI,82285098.74,82285098.74,0,0%,123537537.4,-41252438.66,-33.40%
Total Assets,Current assets,Fixed Deposit - FAB - USD,1256732.5,1256732.5,0,0%,,1256732.5,
Total Assets,Current assets,Fixed Deposit – SAIB USD,0,22441651.71,-22441652,-100%,117818671.5,-117818671.5,-100.00%
Total Assets,Current assets,Fixed Deposit - Saudi National Bank - SAR,69120287.25,69120287.25,0,0%,56852184.32,12268102.93,21.60%
Total Assets,Current assets,Fixed Deposit - SCB  Islamic Bank - Dubai,5159979.68,5159979.68,0,0%,13405146.62,-8245166.94,-61.50%
Total Assets,Current assets,Fixed Deposit - Standard Chartered Bank - SAR,0,0,0,,97719329.74,-97719329.74,-100.00%
Total Assets,Current assets,Fixed Deposit- SABB,0,0,0,,43761220.83,-43761220.83,-100.00%
Total Assets,Current assets,Fixed Deposit-API RIYADH-SABB-SAR-AC 011-290988-001-FD,0,5984440.45,-5984440,-100%,26929982.05,-26929982.05,-100.00%
Total Assets,Current assets,Fixed Deposit-Bank AlBilad-FD,0,0,0,,158213630.7,-158213630.7,-100.00%
Total Assets,Current assets,Fixed Deposit-Riyad Bank-FD,418437836.6,418437836.6,0,0%,,418437836.6,
Total Assets,Current assets,Fixed Deposits – Al Bilad SAR,0,0,0,,103231597.9,-103231597.9,-100.00%
Total Assets,Current assets,Fixed Deposits – Al Jazira SAR,0,0,0,,59844404.55,-59844404.55,-100.00%
Total Assets,Current assets,Fixed Deposits – ANB SAR,85278276.48,101735487.7,-16457211,-16%,62836624.78,22441651.71,35.70%
Total Assets,Current assets,Fixed Deposits - Riyad Bank,89766606.82,89766606.82,0,0%,,89766606.82,
Total Assets,Current assets,Fixed Deposits – SAIB SAR,61340514.66,61340514.66,0,0%,7480550.57,53859964.09,720.00%
Total Assets,Current assets,HDEC MIDDLE EAST CO DMCC,1507372.08,1507372.08,0,0%,39641348.74,-38133976.66,-96.20%
Total Assets,Current assets,Infrastructure Services - Professional Services,0,0,0,,1097503.1,-1097503.1,-100.00%
Total Assets,Current assets,Interest receivables - Fixed / term deposits – Banks - Al Bilad,0,0,0,,3185034.4,-3185034.4,-100.00%
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks - ANB,1325097.98,954736.12,370362,39%,,1325097.98,
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks - BSF,0,0,0,,1556515.56,-1556515.56,-100.00%
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks – INMA,1887817.18,1251474.31,636343,51%,,1887817.18,
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks - RIYAD BANK,8287347.74,5343817.95,2943530,55%,,8287347.74,
Total Assets,Current assets,Jakson Arabia Limited,0,0,0,,2064631.96,-2064631.96,-100.00%
Total Assets,Current assets,Larsen & Toubro International FZE,10002634.65,6668422.35,3334212,50%,37116917.64,-27114282.99,-73.10%
Total Assets,Current assets,Legal Consult.,51934596.89,51934596.89,0,0%,44196937.11,7737659.78,17.50%
Total Assets,Current assets,Other,757442958,793377470.9,-35934513,-5%,707374739.1,50068218.9,7.10%
Total Assets,Current assets,Other Consult.,9147624.88,9147624.88,0,0%,9147624.88,0,0.00%
Total Assets,Current assets,Other Expenses,15951795.8,15951795.8,0,0%,15951795.8,0,0.00%
Total Assets,Current assets,Prepaid (C) - Housing Allowance,9584522.84,9548646.27,35877,0%,6051462.04,3533060.8,58.40%
Total Assets,Current assets,Prepaid (C) - LC Commission,0,3039352.48,-3039352,-100%,0,0,
Total Assets,Current assets,Prepaid (C) - License Fee,2070476.59,,2070477,,,2070476.59,
Total Assets,Current assets,Prepaid (C) - LNTP Payment,1010298.62,1010298.62,0,0%,2580789.95,-1570491.32,-60.90%
Total Assets,Current assets,Prepaid (C) - Other Insurance,2712335.12,2795025.12,-82690,-3%,3704615.19,-992280.07,-26.80%
Total Assets,Current assets,Prepaid (C) - Upfront Fee,1347122.5,1443122.9,-96000,-7%,2499127.28,-1152004.78,-46.10%
Total Assets,Current assets,Prepaid (C) – VAT Offshore,1650729.4,1650729.4,0,0%,1650729.4,0,0.00%
Total Assets,Current assets,Recovery of Costs,3802535.99,3802535.99,0,0%,3802535.99,0,0.00%
Total Assets,Current assets,SEPCO III Electric Power Construction,3569716.96,3569716.96,0,0%,3569716.96,0,0.00%
Total Assets,Current assets,SEPCOIII ELECTRIC POWER CONSTRUCTION CO. LTD (DMCC BRANCH),5682206.04,8255505.82,-2573300,-31%,18312314.18,-12630108.14,-69.00%
Total Assets,Current assets,Shanghai Electric HongKong Company Ltd,8445960.49,8445960.49,0,0%,8445960.49,0,0.00%
