MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Current assets, AIR PRODUCTS Middle East Industrial Gases LLC,0,995468.36,-995468,-100%,0,0,
Total Assets,Current assets,15% VAT IMPORT,13228185.47,10104638.38,3123547,31%,,13228185.47,
Total Assets,Current assets,15% VAT LOCAL INPUT,2198384.08,1987791.77,210592,11%,1734798.05,463586.04,26.70%
Total Assets,Current assets,AIR PRODUCTS Middle East Industrial Gases LLC,1681205.31,2186512.84,-505308,-23%,6067929.63,-4386724.33,-72.30%
Total Assets,Current assets,APIR-SNB-SAR-62500000212204-Current Account,0,0,0,,1755337.69,-1755337.69,-100.00%
Total Assets,Current assets,Bid Bond Comm.,904543.27,904543.27,0,0%,904543.27,0,0.00%
Total Assets,Current assets,"Boarding, Lodging & Travel",4059577.15,4059577.15,0,0%,4049407.21,10169.93,0.30%
Total Assets,Current assets,"CHINA ENERGY ENGINEERING GROUP GUANGDONG POWER ENGINEERING (HONG KONG) Co., LTD",1231655.76,,1231656,,,1231655.76,
Total Assets,Current assets,CHINA Energy Engineering Group Guangdong Power Engineering Co. Ltd (Dubai Branch),8579449.46,8579449.46,0,0%,8579449.46,0,0.00%
Total Assets,Current assets,"China Energy Engineering Group Zhejing Thermal Power Construction Co., LTD",8522345.82,8522345.82,0,0%,14805682.29,-6283336.47,-42.40%
Total Assets,Current assets,China Energy International Group Company Limited (Saudi Branch),33985739.52,,33985740,,,33985739.52,
Total Assets,Current assets,China Gezhouba Group Company Limited,0,0,0,,5540692.32,-5540692.32,-100.00%
Total Assets,Current assets,"CHINA Gezhouba Group International Engineering Co., Ltd.",1402346.23,1402346.23,0,0%,1402346.23,0,0.00%
Total Assets,Current assets,Current Ac - JPM - LU570670006550206152-AP Treasury,2719037.22,,2719037,,4559717.13,-1840679.91,-40.40%
Total Assets,Current assets,Current AC- API RIYADH-DIVERSITY VAM DUM-USD-AC 10207,5543087.98,5543087.98,0,0%,16219644.52,-10676556.54,-65.80%
Total Assets,Current assets,Current AC-API CHINA-BANK OF CHINA-RMB-AC 8029225263080-Payment,0,0,0,,2336007.88,-2336007.88,-100.00%
Total Assets,Current assets,Current AC-API DUBAI-ICBC CHINA-USD-AC 0128000100000029209-Payment,0,0,0,,2684718.54,-2684718.54,-100.00%
Total Assets,Current assets,Current AC-API RIYADH-SABB-SAR-AC 011-290988-001-Payment,6789969.33,1138853.34,5651116,496%,3100089.09,3689880.24,119.00%
Total Assets,Current assets,Current AC-API_RIYADH-Arab National Bank-USD-6708040454910019,0,11222642.37,-11222642,-100%,0,0,
Total Assets,Current assets,Current AC-APID-USD-CBI-100012294076,1292377.38,2431761.25,-1139384,-47%,,1292377.38,
Total Assets,Current assets,Current AC-APMI 1-SCB-USD-AC 02-2347322-01-Collection account,0,0,0,,2665780.34,-2665780.34,-100.00%
Total Assets,Current assets,Current AC-APP-DIVERSITY VAM DUM -USD-AC 10207,13619991.32,13361912.33,258079,2%,27166685.37,-13546694.04,-49.90%
Total Assets,Current assets,Development Fee,30581541.56,30581541.56,0,0%,37774090.93,-7192549.37,-19.00%
Total Assets,Current assets,Employee personal loans recoverable,0,935643.98,-935644,-100%,0,0,
Total Assets,Current assets,External Parties (EPC / PM&A Fees),1231655.76,7900078.11,-6668422,-84%,28575052.3,-27343396.54,-95.70%
Total Assets,Current assets,Financial Consult.,28753457.99,28753457.99,0,0%,28753457.99,0,0.00%
Total Assets,Current assets,Fixed Deposit - AlInma SAR,177822860.6,177822860.6,0,0%,,177822860.6,
Total Assets,Current assets,Fixed Deposit - AlRajhi SAR,0,0,0,,44883303.41,-44883303.41,-100.00%
Total Assets,Current assets,Fixed Deposit - ANB - USD,25807899.46,14587073.61,11220826,77%,,25807899.46,
Total Assets,Current assets,Fixed Deposit - BSF,42639138.24,115948533.8,-73309396,-63%,104727708,-62088569.72,-59.30%
Total Assets,Current assets,Fixed Deposit - CBI,82285098.74,82285098.74,0,0%,44174516.92,38110581.82,86.30%
Total Assets,Current assets,Fixed Deposit - FAB - USD,1256732.5,2663076,-1406344,-53%,,1256732.5,
Total Assets,Current assets,Fixed Deposit – SAIB USD,22441651.71,127181328.6,-104739677,-82%,53859964.09,-31418312.39,-58.30%
Total Assets,Current assets,Fixed Deposit - Saudi National Bank - SAR,69120287.25,44883303.41,24236984,54%,17055655.3,52064631.96,305.30%
Total Assets,Current assets,Fixed Deposit - SCB  Islamic Bank - Dubai,5159979.68,5116696.59,43283,1%,8916816.28,-3756836.6,-42.10%
Total Assets,Current assets,Fixed Deposit - SMBC - USD,0,0,0,,50493716.34,-50493716.34,-100.00%
